image,mask
RIGA/MESSIDOR_Base3/Labeled/image326.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image326.tif
RIGA/MESSIDOR_Base3/Labeled/image335.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image335.tif
RIGA/MESSIDOR_Base3/Labeled/image338.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image338.tif
RIGA/MESSIDOR_Base3/Labeled/image341.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image341.tif
RIGA/MESSIDOR_Base3/Labeled/image346.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image346.tif
RIGA/MESSIDOR_Base3/Labeled/image347.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image347.tif
RIGA/MESSIDOR_Base3/Labeled/image355.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image355.tif
RIGA/MESSIDOR_Base3/Labeled/image362.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image362.tif
RIGA/MESSIDOR_Base3/Labeled/image364.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image364.tif
RIGA/MESSIDOR_Base3/Labeled/image370.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image370.tif
RIGA/MESSIDOR_Base3/Labeled/image371.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image371.tif
RIGA/MESSIDOR_Base3/Labeled/image373.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image373.tif
RIGA/MESSIDOR_Base3/Labeled/image376.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image376.tif
RIGA/MESSIDOR_Base3/Labeled/image385.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image385.tif
RIGA/MESSIDOR_Base3/Labeled/image388.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image388.tif
RIGA/MESSIDOR_Base3/Labeled/image389.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image389.tif
RIGA/MESSIDOR_Base3/Labeled/image390.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image390.tif
RIGA/MESSIDOR_Base3/Labeled/image392.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image392.tif
RIGA/MESSIDOR_Base3/Labeled/image398.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image398.tif
RIGA/MESSIDOR_Base3/Labeled/image400.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image400.tif
RIGA/MESSIDOR_Base3/Labeled/image401.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image401.tif
RIGA/MESSIDOR_Base3/Labeled/image410.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image410.tif
RIGA/MESSIDOR_Base3/Labeled/image417.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image417.tif
RIGA/MESSIDOR_Base3/Labeled/image427.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image427.tif
RIGA/MESSIDOR_Base3/Labeled/image432.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image432.tif
RIGA/MESSIDOR_Base3/Labeled/image434.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image434.tif
RIGA/MESSIDOR_Base3/Labeled/image440.tif,RIGA-mask/MESSIDOR_Base3/Labeled/image440.tif
