image,mask
RIGA/MESSIDOR_Base1/Labeled/image100.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image100.tif
RIGA/MESSIDOR_Base1/Labeled/image108.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image108.tif
RIGA/MESSIDOR_Base1/Labeled/image113.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image113.tif
RIGA/MESSIDOR_Base1/Labeled/image114.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image114.tif
RIGA/MESSIDOR_Base1/Labeled/image120.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image120.tif
RIGA/MESSIDOR_Base1/Labeled/image129.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image129.tif
RIGA/MESSIDOR_Base1/Labeled/image130.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image130.tif
RIGA/MESSIDOR_Base1/Labeled/image135.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image135.tif
RIGA/MESSIDOR_Base1/Labeled/image137.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image137.tif
RIGA/MESSIDOR_Base1/Labeled/image145.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image145.tif
RIGA/MESSIDOR_Base1/Labeled/image149.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image149.tif
RIGA/MESSIDOR_Base1/Labeled/image15.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image15.tif
RIGA/MESSIDOR_Base1/Labeled/image154.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image154.tif
RIGA/MESSIDOR_Base1/Labeled/image16.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image16.tif
RIGA/MESSIDOR_Base1/Labeled/image160.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image160.tif
RIGA/MESSIDOR_Base1/Labeled/image17.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image17.tif
RIGA/MESSIDOR_Base1/Labeled/image19.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image19.tif
RIGA/MESSIDOR_Base1/Labeled/image2.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image2.tif
RIGA/MESSIDOR_Base1/Labeled/image20.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image20.tif
RIGA/MESSIDOR_Base1/Labeled/image23.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image23.tif
RIGA/MESSIDOR_Base1/Labeled/image26.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image26.tif
RIGA/MESSIDOR_Base1/Labeled/image27.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image27.tif
RIGA/MESSIDOR_Base1/Labeled/image42.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image42.tif
RIGA/MESSIDOR_Base1/Labeled/image58.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image58.tif
RIGA/MESSIDOR_Base1/Labeled/image67.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image67.tif
RIGA/MESSIDOR_Base1/Labeled/image72.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image72.tif
RIGA/MESSIDOR_Base1/Labeled/image75.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image75.tif
RIGA/MESSIDOR_Base1/Labeled/image76.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image76.tif
RIGA/MESSIDOR_Base1/Labeled/image77.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image77.tif
RIGA/MESSIDOR_Base1/Labeled/image81.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image81.tif
RIGA/MESSIDOR_Base1/Labeled/image83.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image83.tif
RIGA/MESSIDOR_Base1/Labeled/image85.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image85.tif
RIGA/MESSIDOR_Base1/Labeled/image94.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image94.tif
RIGA/MESSIDOR_Base1/Labeled/image95.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image95.tif
RIGA/MESSIDOR_Base1/Labeled/image97.tif,RIGA-mask/MESSIDOR_Base1/Labeled/image97.tif
